vendorProject,product,cwe_primary,year_added,month_added,ransomware_known,cluster,pc1,pc2
Adobe,Flash Player and AIR,CWE-416,2022,5,0.0,1,-0.024046375156514144,-0.6632143311878066
Cisco,Adaptive Security Appliance (ASA) and Firepower Threat Defense (FTD),CWE-835,2024,4,0.0,0,1.2433910256659753,0.18968715988888524
PHP,PHPMailer,CWE-77,2025,7,0.0,0,1.1901860447868708,1.3371088187774973
Synacor,Zimbra Collaboration Suite (ZCS),CWE-79,2023,4,0.0,1,0.7154189146568054,-0.285020475249704
Zyxel,Multiple Network-Attached Storage (NAS) Devices,CWE-78,2023,6,0.0,1,0.32331600479358685,0.10171877445718532
Adobe,Acrobat and Reader,CWE-119,2022,6,0.0,1,-0.2160033842088076,-0.5172249189514858
Arm,Mali GPU Kernel Driver,CWE-416,2024,6,0.0,0,0.8399125579949612,0.6101306401817891
F5,BIG-IP Configuration Utility,CWE-288,2023,10,0.0,2,-0.4718176490042939,0.8878350136248765
Microsoft,Office,CWE-119,2021,11,0.0,2,-1.7519156777338365,-0.13493450480475722
Microsoft,Win32k,CWE-787,2022,2,0.0,1,0.5197247101842186,-1.335568201087797
Samsung,Mobile Devices,CWE-269,2022,11,0.0,2,-1.201616959918587,0.5700454863011859
Atlassian,Confluence Data Center and Server,CWE-863,2023,11,0.0,2,-0.6689422241868809,1.0876900426432239
Linux,Kernel,CWE-862,2022,10,0.0,2,-0.9960003227563294,0.3786278933684991
Adobe,Acrobat and Reader,CWE-119,2022,3,0.0,1,0.3727359344287564,-1.1068883134529222
Microsoft,Internet Explorer,CWE-119,2022,5,0.0,1,-0.04176252257427582,-0.7980282201316269
Apple,iOS,CWE-416,2021,11,0.0,2,-1.7548768071150236,0.03197245851688879
Google,Chromium V8,CWE-20,2021,11,0.0,2,-1.8043715475580964,-0.03272877372000593
Apache,RocketMQ,CWE-94,2023,9,0.0,2,-0.2697291569694995,0.6623050924943564
Cisco,IOS XE Software,CWE-20,2022,3,0.0,1,0.32619213544825326,-1.1277160133093933
Microsoft,Excel,CWE-94,2022,3,0.0,1,0.36283278319196743,-1.139187234835964
Adobe,ColdFusion,CWE-200,2022,3,0.0,1,0.3782536982573352,-1.0588202816816878
Red Hat,Polkit,CWE-787,2022,6,0.0,1,-0.244734403185919,-0.4283546005647875
Oracle,Java SE,,2022,3,0.0,1,0.3220120522540247,-1.1117979836271636
Linux,Kernel,CWE-189,2022,9,0.0,2,-0.7982143743778671,0.17933957421600788
Apple,macOS,CWE-862,2021,11,0.0,2,-1.7506333393835822,0.03952780700754077
dotCMS,dotCMS,CWE-22,2022,8,0.0,2,-0.6215093713141315,-0.016183507213968773
Veritas,Backup Exec Agent,CWE-287,2023,4,0.0,1,0.7146578560983607,-0.290909544236185
Microsoft,Office,CWE-119,2022,3,0.0,1,0.35076285286867015,-1.18841275046543
Cisco,IOS and IOS XE Software,,2022,3,0.0,1,0.32879923292685537,-1.1397726798798784
Palo Alto Networks,Expedition,CWE-89,2024,11,0.0,0,-0.1339545756898497,1.6156935468647864
Microsoft,Windows,CWE-191,2021,11,0.0,2,-1.7441229009931707,-0.08575577298434933
Hewlett Packard (HP),OpenView Network Node Manager,,2022,3,0.0,1,0.3222012121307974,-1.0949856880318989
Craft CMS,Craft CMS,CWE-94,2025,2,0.0,0,2.178568193725684,0.3349684366971808
Rejetto,HTTP File Server,CWE-1336,2024,7,0.0,0,0.651349747231166,0.8129844764817151
Microsoft,Silverlight,CWE-20,2022,5,0.0,1,-0.08749063009677066,-0.8066292216659119
Microsoft,Windows,CWE-281,2022,5,0.0,1,-0.033148102323197315,-0.7478514559049765
Oracle,E-Business Suite,CWE-306,2023,2,0.0,1,1.0925260561020496,-0.6860285526042951
Apache,ActiveMQ,CWE-502,2023,11,0.0,2,-0.6658425567308283,1.088464773565369
Microsoft,Internet Explorer,,2021,11,0.0,2,-1.8018710622978134,-0.16206252230004825
Checkbox,Checkbox Survey,CWE-502,2022,4,0.0,1,0.17906415485313437,-0.801390053131319
Microsoft,SharePoint,CWE-20,2021,11,0.0,2,-1.7965650977228935,-0.13931250936781026
Microsoft,Word,CWE-399,2022,3,0.0,1,0.3549219480500301,-1.132018539982369
QNAP,QTS,CWE-20,2022,6,0.0,1,-0.26843141279969385,-0.5066419028147546
Microsoft,Windows,CWE-416,2025,4,0.0,0,1.7565490508518795,0.6065127232464207
NETGEAR,JGS516PE Devices,,2021,11,0.0,2,-1.7825150847055014,-0.0437218973030552
Progress,Telerik Report Server,CWE-290,2024,6,0.0,0,0.8473571545197126,0.6224945444287027
Microsoft,DWM Core Library,CWE-122,2024,5,0.0,0,1.02206267099237,0.317604485114986
Trend Micro,Apex One and Apex One as a Service,CWE-353,2022,9,0.0,2,-0.8160377308548831,0.1681818295545064
Android,Android Kernel,CWE-20,2021,11,0.0,2,-1.7819688049617666,-0.03409356703017763
Microsoft,Win32k,CWE-416,2023,5,0.0,1,0.4819565437413555,-0.2294949725794297
SIMalliance,Toolbox Browser,,2021,11,0.0,2,-1.7829776212629147,-0.03850997091783426
Adobe,ColdFusion,CWE-434,2021,11,0.0,2,-1.7272267662787253,0.001118498728281292
Cisco,Adaptive Security Appliance (ASA) and Firepower Threat Defense (FTD),CWE-94,2024,4,0.0,0,1.2525413542209614,0.17191607457843755
Microsoft,Exchange,CWE-184,2021,11,0.0,2,-1.7515608832518161,-0.06505824839329688
Synacor,Zimbra Collaboration Suite (ZCS),CWE-79,2025,5,0.0,0,1.5845865035822897,0.9494489356037563
VMware,Workspace ONE Access and Identity Manager,CWE-94,2022,4,0.0,1,0.1816271045708906,-0.8359215783758809
TVT,NVMS-1000,CWE-22,2021,11,0.0,2,-1.7441788712841446,0.05465739589159857
Microsoft,Exchange Server,CWE-502,2021,11,0.0,2,-1.7474209721989946,-0.05177798867418704
PEAR,Archive_Tar,CWE-22,2022,8,0.0,2,-0.6221765602339766,-0.016242203276789713
Microsoft,Office,CWE-119,2021,11,0.0,2,-1.7519156777338365,-0.13493450480475722
VMware,vCenter Server,CWE-23,2021,11,0.0,2,-1.7386921968096325,0.03895519397766556
Nice,Linear eMerge E3-Series,CWE-78,2024,3,0.0,0,1.4438915447194187,0.02969067828760552
Microsoft,Project,CWE-20,2024,8,0.0,0,0.3895392682375968,0.8240396393045903
Apache,Airflow's Experimental API,CWE-1188,2022,1,0.0,1,0.7595177690390849,-1.4127177701909046
D-Link,DIR-300 Router,CWE-310,2022,9,0.0,2,-0.8048688668722355,0.1685929257263351
VMware,Tools,CWE-287,2023,6,0.0,1,0.31897710042398886,0.10257639099358822
Adminer,Adminer,CWE-918,2025,9,0.0,0,0.7892874537087468,1.7290347514242248
Apple,macOS,CWE-20,2022,4,0.0,1,0.11124337009480467,-0.8977336801637832
Apple,Multiple Products,CWE-125,2023,12,0.0,2,-0.8777770694969005,1.2908151859816157
Apple,iOS,CWE-119,2021,11,0.0,2,-1.747594711248428,-0.016166850884078765
GIGABYTE,Multiple Products,,2022,10,0.0,2,-1.0592631862745359,0.29828080662962053
Oracle,WebLogic Server,,2021,11,0.0,2,-1.7834091747005663,-0.05193623410699244
Cisco,IOS XE Web UI,CWE-420,2023,10,0.0,2,-0.4677150491700325,0.8513765533046949
Microsoft,Windows,CWE-362,2022,4,0.0,1,0.16105804904030574,-0.94584628438998
IBM,Data Risk Manager,CWE-22,2021,11,0.0,2,-1.7479532274492497,0.05205723176037447
Google,Chromium,CWE-862,2021,11,0.0,2,-1.7530262235041874,0.04616497942263731
Oracle,Fusion Middleware,,2022,5,0.0,1,-0.07356462182454676,-0.7115021214518957
D-Link,DIR-825 R1 Devices,CWE-119,2021,11,0.0,2,-1.7275392244405121,-0.012394236012497784
Zyxel,Multiple Firewalls,CWE-120,2023,6,0.0,1,0.31792507840587536,0.09764400015892145
Apple,Multiple Products,CWE-787,2022,5,0.0,1,-0.06411269595237395,-0.6110596911992175
Microsoft,Windows,CWE-822,2024,12,0.0,0,-0.34001855412159276,1.6705158411289738
Fortinet,FortiOS,CWE-494,2021,12,0.0,2,-1.9308328105997874,0.24579260363923028
D-Link,DIR-859 Router,CWE-78,2023,6,0.0,1,0.3263130098720107,0.10318492985587167
Microsoft,Windows,CWE-73,2024,11,0.0,0,-0.14238129520903575,1.473400589316936
Microsoft,Windows,CWE-362,2023,7,0.0,1,0.10502574463841108,0.16277458312128068
Red Hat,JBoss,CWE-264,2022,5,0.0,1,-0.027143438663548125,-0.6424624203721456
Adobe,Flash Player,CWE-787,2022,6,0.0,1,-0.23646402911120595,-0.48274672583458605
WSO2,Multiple Products,CWE-22,2022,4,0.0,1,0.1593419372415289,-0.7900212272728976
Adobe,Flash Player,CWE-843,2022,3,0.0,1,0.3767682864637697,-1.0702378645294663
Zyxel,P660HN-T1A Routers,CWE-78,2023,8,0.0,0,-0.06959757038750297,0.49616278008879144
Microsoft,Exchange Server,CWE-287,2021,11,0.0,2,-1.7466750866840068,-0.060119022722031956
ServiceNow,"Utah, Vancouver, and Washington DC Now Platform",CWE-184,2024,7,0.0,0,0.6504164595931617,0.814281207681505
NETGEAR,WNR2000v5 Router,CWE-119,2022,3,0.0,1,0.37125962081417074,-1.0737778693555957
Citrix,Application Delivery Controller (ADC) and Gateway,CWE-664,2022,12,0.0,2,-1.3997044371244065,0.7621037494012303
Linux,Kernel,CWE-367,2025,9,0.0,0,0.8037204998769986,1.7410820965259182
Apache,OFBiz,CWE-863,2024,8,0.0,0,0.45416782421800167,1.0107562769638319
Cisco,IOS Software and Cisco IOS XE Software,CWE-20,2022,3,0.0,1,0.3263971697148649,-1.1287287413433786
Grafana Labs,Grafana,CWE-22,2025,10,0.0,0,0.584773471478818,1.9374854745704466
Fortinet,FortiOS,CWE-787,2024,2,0.0,0,1.607312409915026,-0.16869172160844692
MediaTek,Multiple Chipsets,CWE-787,2021,11,0.0,2,-1.7601280684416247,0.04506497033087631
Microsoft,Forefront Threat Management Gateway (TMG),CWE-119,2022,3,0.0,1,0.35526165271110066,-1.1741477053032605
Microsoft,Win32k,CWE-119,2022,3,0.0,1,0.3490245044639912,-1.1897006846578457
Cisco,"IOS, XR, and XE Software",CWE-119,2022,3,0.0,1,0.3761694748410455,-1.1032658080028552
Oracle,Java SE,,2022,3,0.0,1,0.3220120522540247,-1.1117979836271636
Microsoft,Windows,CWE-119,2022,3,0.0,1,0.36195654355732176,-1.1950534700178315
Adobe,Flash Player,CWE-189,2022,5,0.0,1,-0.018499353541591657,-0.676787905207945
SonicWall,SonicWall Email Security,CWE-22,2021,11,0.0,2,-1.7443906275692793,0.05395490646604617
GNU,Bourne-Again Shell (Bash),CWE-78,2022,1,0.0,1,0.7710396129112402,-1.4038711669173487
Microsoft,Office,,2025,8,0.0,0,0.9177288096336647,1.3268283745716332
Microsoft,Office,CWE-94,2022,3,0.0,1,0.3579968199286691,-1.1511975490376545
Google,Chromium V8,CWE-843,2023,6,0.0,1,0.29114432996704026,0.09967667050246852
Oracle,Intelligence Enterprise Edition,CWE-22,2022,1,0.0,1,0.7524433779470168,-1.405841883407365
Apache,Struts,CWE-20,2021,11,0.0,2,-1.7883180933656753,-0.04580652024653009
Microsoft,Windows,CWE-122,2025,2,0.0,0,2.149840649333498,0.22457159186403364
Linux,Kernel,CWE-20,2023,5,0.0,1,0.47338350763034837,-0.16552466413520067
QNAP,VioStor NVR,CWE-78,2023,12,0.0,2,-0.8582634724903188,1.2769756267713763
Microsoft,Windows,CWE-19,2022,5,0.0,1,-0.03295823726223662,-0.7489341960611513
Apple,iOS and macOS,CWE-20,2022,8,0.0,2,-0.6736607699891621,-0.11125626014501988
GeoVision,Multiple Devices,CWE-78,2025,5,0.0,0,1.5856367839167524,0.9440281698752258
Apple,Multiple Products,CWE-754,2023,9,0.0,2,-0.2939374617946038,0.7012934073548371
Microsoft,SharePoint,CWE-287,2025,7,0.0,0,1.173466610828966,1.237455793716596
Cisco,IOS and IOS XE Software,CWE-119,2022,3,0.0,1,0.37872212113959564,-1.1153690617184084
Microsoft,Edge,CWE-119,2022,3,0.0,1,0.35545539555707084,-1.1752684628805596
Oracle,Java SE,,2022,3,0.0,1,0.3220120522540247,-1.1117979836271636
MinIO,MinIO,CWE-200,2023,4,0.0,1,0.7082519194456,-0.30353008168065876
Adobe,Flash Player,CWE-416,2022,4,0.0,1,0.17429298793953496,-0.8784032945051036
Dasan,Gigabit Passive Optical Network (GPON) Routers,CWE-287,2022,3,0.0,1,0.3766833284030752,-1.0086089255260222
D-Link,DIR-600 Router,CWE-352,2024,5,0.0,0,1.0474506360323173,0.4211122193014935
Ivanti,Endpoint Manager Mobile (EPMM),CWE-94,2025,5,0.0,0,1.5971593525279697,0.93380914098057
Microsoft,Windows,,2023,11,0.0,2,-0.7252308467865864,0.87193610350102
N-able,N-Central,,2025,8,0.0,0,0.940581897350024,1.4532680737531436
Microsoft,Internet Explorer,CWE-787,2021,11,0.0,2,-1.7774944079107007,-0.0869719557347175
Microsoft,Excel,CWE-20,2022,3,0.0,1,0.30567592791922826,-1.2008060544252093
Microsoft,Windows,CWE-451,2024,7,0.0,0,0.6402748811311677,0.6855657136571934
Microsoft,Windows,CWE-255,2021,11,0.0,2,-1.7440614162721642,-0.08785640749787016
Cisco,Cisco IOS XE Web UI,CWE-78,2023,10,0.0,2,-0.46017112165936574,0.8537188292491977
Microsoft,Exchange Server,CWE-502,2022,9,0.0,2,-0.822221078871616,0.0740705546680131
NETGEAR,Wireless Router DGN2200,CWE-78,2022,3,0.0,1,0.37660052135307825,-1.0144910059127783
Exim,Exim,CWE-119,2022,3,0.0,1,0.371092059979356,-1.0738923790722281
WordPress,Social Warfare Plugin,CWE-79,2021,11,0.0,2,-1.732792081878038,0.0463906306202303
Apple,iOS and iPadOS,CWE-20,2022,10,0.0,2,-1.064644788307454,0.2844398266905661
ConnectWise,ScreenConnect,CWE-288,2024,2,0.0,0,1.636685871150453,-0.16529245391412883
Cisco,HyperFlex HX,CWE-78,2021,11,0.0,2,-1.7234586445067235,0.011567042127370253
Microsoft,Win32k,CWE-416,2022,2,0.0,1,0.5379888481432502,-1.3381158400906903
Google,Chromium Animation,CWE-416,2022,2,0.0,1,0.5450264454976604,-1.2145030715957408
Apple,"iOS, macOS, watchOS",CWE-20,2022,8,0.0,2,-0.6726967288534816,-0.10969333311433
Microsoft,XML Core Services,CWE-119,2022,6,0.0,1,-0.2338191748424298,-0.5846214153500656
Cisco,HyperFlex HX,CWE-78,2021,11,0.0,2,-1.7234586445067235,0.011567042127370253
Apple,Multiple Products,CWE-754,2023,9,0.0,2,-0.2939374617946038,0.7012934073548371
Apple,Multiple Products,CWE-787,2023,6,0.0,1,0.2723478787374407,0.1044522466444187
Microsoft,Ancillary Function Driver (afd.sys),CWE-264,2022,3,0.0,1,0.35123189779978775,-1.1402562708017774
Ivanti,Cloud Services Appliance (CSA),CWE-77,2024,10,0.0,0,0.07814095910641539,1.4228815131488195
Microsoft,Windows,CWE-269,2022,1,0.0,1,0.7514694332366623,-1.5330528853228698
TeleMessage,TM SGNL,CWE-528,2025,7,0.0,0,1.1870644762864515,1.3385618392715246
Apple,Multiple Products,,2023,5,0.0,1,0.44421766389618245,-0.16719278475472416
F5,BIG-IP,CWE-306,2022,5,0.0,1,-0.03193478222861296,-0.6046477336514879
Apache,Struts,CWE-917,2021,11,0.0,2,-1.7436853503231937,0.033006692994126285
Microsoft,Windows,CWE-693,2024,9,0.0,0,0.25054493180862203,1.0800823167679061
Trend Micro,"Apex One, Apex One as a Service, and Worry-Free Business Security",CWE-20,2021,11,0.0,2,-1.789606409655807,-0.037178606896233535
Ivanti,Connect Secure and Policy Secure,CWE-77,2024,1,0.0,0,1.8461479294966234,-0.35066128360083426
VMware,vCenter Server,CWE-122,2024,11,0.0,0,-0.1427239635682992,1.6029931326824658
Microsoft,Windows,CWE-131,2021,11,0.0,2,-1.7442658994871123,-0.08685239978203696
OSGeo,GeoServer,CWE-95,2024,7,0.0,0,0.6509828115010374,0.8140132063115665
Ivanti,"Connect Secure, Policy Secure, and ZTA Gateways",CWE-121,2025,4,0.0,0,1.7877323843448023,0.7521863326593481
Apple,macOS,CWE-416,2023,4,0.0,1,0.6865911766766186,-0.3062332795915215
Artifex,Ghostscript,CWE-704,2022,5,0.0,1,-0.023366705623889483,-0.622443751225944
Drupal,Drupal core,CWE-434,2022,1,0.0,1,0.7611420388831784,-1.4109603759563287
Apple,Multiple Products,,2025,6,0.0,0,1.3133852528216667,1.0672766260987363
Qualcomm,Multiple Chipsets ,CWE-416,2024,10,0.0,0,0.05340027520270729,1.4055878040471756
Microsoft,Windows,CWE-20,2022,3,0.0,1,0.3120336553445815,-1.2194570881793012
Microsoft,Windows,CWE-787,2022,5,0.0,1,-0.05608256936001493,-0.7512575919463462
Advantive,VeraCore,CWE-89,2025,3,0.0,0,1.97082677637506,0.5517924068992399
Microsoft,Windows,,2021,11,0.0,2,-1.7906448752579252,-0.16597884251862838
Microsoft,Windows,CWE-264,2022,3,0.0,1,0.3579289839136706,-1.16119432473447
Fortinet,FortiManager,CWE-306,2024,10,0.0,0,0.057434430382524826,1.4232669711746104
Oracle,Fusion Middleware,CWE-502,2022,11,0.0,2,-1.1975712511888994,0.56332197197918
Progress,WS_FTP Server,CWE-502,2023,10,0.0,2,-0.46653003218781053,0.9041706037674221
Progress,MOVEit Transfer,CWE-89,2023,6,0.0,1,0.3121755512519465,0.10643916832013807
Fortinet,Multiple Products,CWE-124,2025,5,0.0,0,1.5727340552762004,0.9564560166062563
Microsoft,Windows,CWE-416,2021,11,0.0,2,-1.7480040829117807,-0.09343591495619086
Apple,Multiple Products,,2024,1,0.0,0,1.7619104363152704,-0.4344531710801488
Microsoft,Windows,CWE-787,2022,4,0.0,1,0.1401638701858397,-0.9478120567801583
GitLab,GitLab CE/EE,CWE-284,2024,5,0.0,0,1.0418952230851253,0.42021887150851506
Microsoft,Windows,CWE-787,2022,11,0.0,2,-1.233561206635143,0.42806919705652663
D-Link,DIR-645 Router,CWE-77,2022,2,0.0,1,0.5764493615973936,-1.2025693126554007
FatPipe,"WARP, IPVPN, and MPVPN software",CWE-434,2022,1,0.0,1,0.7618410711538177,-1.4091052833133166
Erlang,Erlang/OTP,CWE-306,2025,6,0.0,0,1.3744185100303739,1.1516779238655965
SysAid,SysAid On-Prem,CWE-611,2025,7,0.0,0,1.1843111227435383,1.3403128179058228
Microsoft,Office,CWE-787,2021,11,0.0,2,-1.7774619115594639,-0.08424755640089632
NETGEAR,Multiple Routers,CWE-352,2022,3,0.0,1,0.37020757713550145,-1.016999352106682
Linux,Kernel,CWE-282,2025,6,0.0,0,1.390637837216808,1.1492488351738797
Cisco,IOS software,CWE-20,2022,3,0.0,1,0.3269867186090747,-1.1318850337136634
Zyxel,Multiple Network-Attached Storage (NAS) Devices,CWE-78,2022,3,0.0,1,0.3793483091954815,-1.0069020930540753
Webmin,Webmin,CWE-78,2022,3,0.0,1,0.3773154638652785,-1.0102057062148406
Looking Glass,Multi-Router Looking Glass (MRLG),CWE-119,2025,7,0.0,0,1.1859938258954155,1.2780142095845424
Qualcomm,Multiple Chipsets,CWE-416,2021,11,0.0,2,-1.7435071382310818,0.05229879614360844
Microsoft,Windows,CWE-119,2022,3,0.0,1,0.36195654355732176,-1.1950534700178315
D-Link,DIR-610 Devices,CWE-78,2022,3,0.0,1,0.3816262826550538,-1.0075902341491707
Microsoft,Windows,CWE-94,2024,2,0.0,0,1.630850978634514,-0.31647778740421983
Microsoft,PowerPoint,CWE-119,2022,6,0.0,1,-0.23360499353318276,-0.5850422179514462
Microsoft,Internet Explorer,CWE-416,2022,5,0.0,1,-0.049044618440871546,-0.7498889107306593
Arm,Mali Graphics Processing Unit (GPU),CWE-416,2021,11,0.0,2,-1.740120789851815,0.033667791558081195
Elastic,Elasticsearch,CWE-284,2022,3,0.0,1,0.3700370634939709,-1.0168047985328839
vBulletin,vBulletin,CWE-94,2021,11,0.0,2,-1.7276514299834926,0.02330317023584072
SolarWinds,Virtualization Manager,CWE-264,2021,11,0.0,2,-1.7379182238192334,0.02164427506300104
SonicWall,SMA100,CWE-89,2021,11,0.0,2,-1.7342832405146233,0.04465579520606666
SolarWinds,Orion,CWE-288,2021,11,0.0,2,-1.7337253912635653,0.04680321950262356
Qualcomm,Multiple Chipsets,CWE-863,2025,6,0.0,0,1.3761990383056424,1.1588521778207779
Trend Micro,Apex Central,CWE-184,2022,3,0.0,1,0.36212467637638135,-1.0126812064624253
